ID,FID,Status,Score,Match_type,Side,Match_addr,ARC_Street,ARC_Zone,address,latitude,longitude,name,desc_,source,precision
1353,1352,M,86,A,L,"450 W 33RD ST, 1",450 West 33 St,1,450 West 33 St,40.753048,-73.999435,450 West 33 St,"450 W 33rd St, New York, NY 10001",Bing Maps,address
1354,1353,T,86,A,R,"55 WATER ST, 1",55 Water St Ny Ny,1,55 Water St Ny Ny,40.703041,-74.009407,55 Water St Ny Ny,"55 Water St, New York, NY 10004",Bing Maps,address
1355,1354,T,86,A,R,"55 WATER ST, 1",55 Water St Ny Ny,1,55 Water St Ny Ny,40.703041,-74.009407,55 Water St Ny Ny,"55 Water St, New York, NY 10004",Bing Maps,address
1356,1355,T,86,A,R,"66 JOHN ST, 1",66 John Street,1,66 John Street,40.708641,-74.008003,66 John Street,"66 John St, New York, NY 10038",Bing Maps,address
1357,1356,T,86,A,R,"66 JOHN ST, 1",66 John Street,1,66 John Street,40.708641,-74.008003,66 John Street,"66 John St, New York, NY 10038",Bing Maps,address
1358,1357,M,86,A,L,"450 W 33RD ST, 1",450 West 33 St,1,450 West 33 St,40.753048,-73.999435,450 West 33 St,"450 W 33rd St, New York, NY 10001",Bing Maps,address
1359,1358,M,86,A,L,"450 W 33RD ST, 1",450 West 33 St,1,450 West 33 St,40.753048,-73.999435,450 West 33 St,"450 W 33rd St, New York, NY 10001",Bing Maps,address
1360,1359,T,86,A,R,"470 VANDERBILT AVE, 3",470 Vanderbilt Ave,3,470 Vanderbilt Ave,40.683077,-73.967854,470 Vanderbilt Ave,"470 Vanderbilt Ave, Brooklyn, NY 11238",Bing Maps,address
1361,1360,T,86,A,L,"180 WATER ST, 1",180 Water Street,1,180 Water Street,40.706982,-74.005585,180 Water Street,"180 Water St, New York, NY 10038",Bing Maps,address
1362,1361,T,86,A,R,"1 CENTRE ST, 1",1 Centre St.,1,1 Centre St.,-27.10001,-48.922909,1 Centre St.,"Centro 1, Brazil",Bing Maps,Neighborhood
1363,1362,M,86,A,L,"450 W 33RD ST, 1",450 West 33 St,1,450 West 33 St,40.753048,-73.999435,450 West 33 St,"450 W 33rd St, New York, NY 10001",Bing Maps,address
1364,1363,M,86,A,L,"450 W 33RD ST, 1",450 West 33 St,1,450 West 33 St,40.753048,-73.999435,450 West 33 St,"450 W 33rd St, New York, NY 10001",Bing Maps,address
1365,1364,T,86,A,R,"280 BROADWAY, 1",280 Broadway,1,280 Broadway,40.714249,-74.006111,280 Broadway,280 Broadway,Bing Maps,HistoricalSite
1366,1365,T,86,A,R,"1 CENTRE ST, 1",1 Centre St.,1,1 Centre St.,-27.10001,-48.922909,1 Centre St.,"Centro 1, Brazil",Bing Maps,Neighborhood
1367,1366,M,63,A,R,"5 6 HORACE HARDING EXPRE, 4",96-05 Horace Harding Expway,4,96-05 Horace Harding Expway,40.734752,-73.863127,96-05 Horace Harding Expway,"96-05 Horace Harding Expy N, Corona, NY 11368",Bing Maps,address
1368,1367,M,63,A,R,"5 6 HORACE HARDING EXPRE, 4",96-05 Horace Harding Expway,4,96-05 Horace Harding Expway,40.734752,-73.863127,96-05 Horace Harding Expway,"96-05 Horace Harding Expy N, Corona, NY 11368",Bing Maps,address
